name,title,url,headshot_image_url,date_updated,department,research_interests,personal_site
Achal Bassamboo,,http://www.kellogg.northwestern.edu/faculty/directory/bassamboo_achal.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/bassamboo_a.ashx,20180327,OPERATIONS,Applied probability and stochastic models; stochastic systems: performance analysis and optimal control; revenue management; operations management; Empricial Operations,http://www.kellogg.northwestern.edu/faculty/bassamboo/Site/About_me.html
Adam Robert Pah,,http://www.kellogg.northwestern.edu/faculty/directory/pah_adam.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Pah_Adam_092115.ashx,20180327,MANAGEMENT & ORGANIZATIONS,Innovation adoption in professional networks; Predicting social dynamics with missing network information; Healthcare networks and decision support; Social policy; Conflict; Contagion in time series; Racial disparities in educational access and attainment.,http://www.npcompleteheart.com
Adam Waytz,Associate Professor of Management & Organizations,http://www.kellogg.northwestern.edu/faculty/directory/waytz_adam.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Waytz_Adam_RGB14.ashx,20180327,MANAGEMENT & ORGANIZATIONS,"Ethics and morality, Mind perception, Dehumanization, Social connection, Meaning-making, Social influence, Human-Technology Interaction",http://www.adamwaytz.com/
Aharon Ofer,Professor of Finance,http://www.kellogg.northwestern.edu/faculty/directory/ofer_aharon.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/ofer_a.ashx,20180327,FINANCE,"Chari, V. V., Ravi Jagannathan and Aharon Ofer. 1988. Seasonalities in Security Returns: the Case of Earnings Announcements. Journal of Financial Economics. 21(1): 101-121.We document a seasonal pattern in stock returns around quarterly earnings announcement dates: small firms show large positive abnormal returns and a sizable increase in the variability of returns around these dates. Only part of the large abnormal returns can be accounted for by the tendency of firms with good news to announce early. Large firms show no abnormal returns around announcement dates and a much smaller increase in variability.",
Alex Schneider,,http://www.kellogg.northwestern.edu/faculty/directory/schneider_alex.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Schneider_Alex_110515.ashx,20180327,INNOVATION & ENTREPRENEURSHIP,,http://www.clovercp.com/team_alex.php
Alexander Chernev,Professor of Marketing,http://www.kellogg.northwestern.edu/faculty/directory/chernev_alexander.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Chernev_Alexander_F09.ashx,20180327,MARKETING,Consumer decision making and choice,http://www.chernev.com
Alice Eagly,,http://www.kellogg.northwestern.edu/faculty/directory/eagly_alice.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/eagly_a.ashx,20180327,MANAGEMENT & ORGANIZATIONS,,http://www.wcas.northwestern.edu/psych/people/faculty/faculty_individual_pages/eagly.htm
Alice M. Tybout,Harold T. Martin Professor of Marketing,http://www.kellogg.northwestern.edu/faculty/directory/tybout_alice_m.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Tybout_Alice.ashx,20180327,MARKETING,"Consumer decision making, brand management, brand management during scandals",
Alireza Tahbaz-Salehi,Associate Professor of Managerial Economics & Decision Sciences,http://www.kellogg.northwestern.edu/faculty/directory/tahbaz-salehi_alireza.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Tahbaz-Salehi_Alireza cropped 03152018.ashx,20180327,MANAGERIAL ECONOMICS & DECISION SCIENCES,"Molavi, Pooya, Alireza Tahbaz-Salehi and Ali Jadbabaie. Forthcoming. A Theory of Non-Bayesian Social Learning. Econometrica.",http://sites.northwestern.edu/alirezat
Allan Drebin,Professor Emeritus of Accounting Information & Management,http://www.kellogg.northwestern.edu/faculty/directory/drebin_allan.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/drebin_a.ashx,20180327,ACCOUNTING INFORMATION & MANAGEMENT,"Stern, Louis, Robert Dewar, Allan Drebin, Lynn W. Phillips and Brian Sternthal. 1977. The Evaluation of Consumer Protection Laws: The Case of the Fair Credit Reporting Act. Cambridge, MA: Marketing Science Institute.",
Alvaro Sandroni,,http://www.kellogg.northwestern.edu/faculty/directory/sandroni_alvaro.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/sandroni_a.ashx,20180327,MANAGERIAL ECONOMICS & DECISION SCIENCES,Behavioral Science; Strategic Forecasting; Political Science; Economic Theory; Game Theory; Law and Philosophy.,
Alyson Carrel,Clinical Assistant Professor (Courtesy),http://www.kellogg.northwestern.edu/faculty/directory/carrel_alyson.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Carrel_Alyson 09052017cropped.ashx,20180327,MANAGEMENT & ORGANIZATIONS,,
Amanda Starc,Associate Professor of Strategy,http://www.kellogg.northwestern.edu/faculty/directory/starc_amanda.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Starc_Amanda_072916.ashx,20180327,STRATEGY,Health Economics and Industrial Organization,https://sites.google.com/site/amandastarc/
Ameet Morjaria,Assistant Professor of Managerial Economics & Decision Sciences,http://www.kellogg.northwestern.edu/faculty/directory/morjaria_ameet.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Morjaria_Ameet_093015.ashx,20180327,MANAGERIAL ECONOMICS & DECISION SCIENCES,"Economic Development, Organizational Economics, Political Economy",https://sites.google.com/site/ameetmorjaria/
Amy Schuman,Adjunct Lecturer of Family Enterprise,http://www.kellogg.northwestern.edu/faculty/directory/schuman_amy.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Schuman_Amy_111416.ashx,20180327,INNOVATION & ENTREPRENEURSHIP,,
Andrew A. Ziskind,Adjunct Professor of Health Enterprise Management,http://www.kellogg.northwestern.edu/faculty/directory/ziskind_andrew.aspx,,20180327,PUBLIC-PRIVATE INTERFACE,,
Andris Zoltners,Professor Emeritus of Marketing,http://www.kellogg.northwestern.edu/faculty/directory/zoltners_andris.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/zoltners_a.ashx,20180327,MARKETING,"Sales force strategy, sales force effectiveness, sales force sizing, structure and resource allocation, sales force compensation",http://www.kellogg.northwestern.edu/faculty/zoltners/htm/index.html
Angela Y. Lee,,http://www.kellogg.northwestern.edu/faculty/directory/lee_angela_y.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Lee_Angela_RGB14.ashx,20180327,MARKETING,"Conscious and nonconscious influences of memory on judgment and choice Goal, motivation and self regulation Cross-cultural psychology Affect, emotion and metacognitionSelf identity",
Anna Tuchman,Assistant Professor of Marketing,http://www.kellogg.northwestern.edu/faculty/directory/tuchman_anna.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Tuchman_Anna_090816.ashx,20180327,MARKETING,"Quantitative Marketing Empirical Industrial OrganizationAdvertising: Addictive Goods, Addressable TV Markets, Ad Skipping, Digital Advertising Policy and Regulation",
Anne Cohn Donnelly,Adjunct Lecturer of Executive Education,http://www.kellogg.northwestern.edu/faculty/directory/donnelly_anne_cohn.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/donnelly_a.ashx,20180327,EXECUTIVE EDUCATION,Administration and planning; board governance; nonprofit management,
Anne Coughlan,,http://www.kellogg.northwestern.edu/faculty/directory/coughlan_anne.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/coughlan_a.ashx,20180327,MARKETING,"Channels of distribution, distribution channel governance, channel pricing strategies, sales force management and compensation, direct selling, competitive strategy, international applications of research in these areas",http://kellogg.northwestern.edu/faculty/coughlan/htm/PersonalPage_Files/Index.htm
Annelie Karlsson,Adjunct Lecturer of Family Enterprise,http://www.kellogg.northwestern.edu/faculty/directory/karlsson_annelie.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Karlsson_Annelie_04032017.ashx,20180327,INNOVATION & ENTREPRENEURSHIP,,
Anthony DeFusco,Assistant Professor of Finance,http://www.kellogg.northwestern.edu/faculty/directory/defusco_anthony.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/DeFusco_Anthony_PS_73015.ashx,20180327,FINANCE,Household and Consumer FinanceReal Estate Finance and Urban EconomicsApplied Microeconomics,http://www.kellogg.northwestern.edu/faculty/defusco
Anton Braverman,,http://www.kellogg.northwestern.edu/faculty/directory/braverman_anton.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Braverman_Anton_073117.ashx,20180327,OPERATIONS,"Braverman, Anton and John Pike. Forthcoming. Poisson statistics of eigenvalues in the hierarchical Dyson model. Theory of Probability and its Applications.",
Aparna Labroo,Professor of Marketing,http://www.kellogg.northwestern.edu/faculty/directory/labroo_aparna.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Labroo_Aparna_1013.ashx,20180327,MARKETING,"My research investigates how feelings influence judgment and decision making, including consumer choices, self-control choices that involve trade-offs between immediate pleasure and long-term benefits, self-regulation and healthy choices, pro-social actions including charitable giving, creativity and cognitive performance. In these contexts, I investigate how feelings (incidental feelings that arise outside of the decision process, feelings that arise from the decision process itself, or sensory-motor physiological experiences) play a functional role in helping people accomplish their goals.",
Artur Raviv,Alan E. Peterson Professor of Finance,http://www.kellogg.northwestern.edu/faculty/directory/raviv_artur.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/raviv_a.ashx,20180327,FINANCE,"Corporate Finance, corporate governance, capital structure, economics of uncertainty, information economics",http://www.kellogg.northwestern.edu/faculty/raviv/htm/research.htm
Ata Jami,Visiting Assistant Professor,http://www.kellogg.northwestern.edu/faculty/directory/jami_ataollah.aspx,,20180327,MARKETING,"Kouchaki, Maryam and Ata Jami. 2018. Everything We Do, You Do: The Licensing Effect of Prosocial Marketing Messages on Consumer Behavior. Management Science. 64(1): 102-111.Do prosocial corporate marketing messages promote consumers’ altruistic behaviors, or do they advance self-interested and self-indulgent actions? To answer this question, the current research investigates the impact of different framings of prosocial marketing messages on consumers’ behaviors and choices more generally. Results from six laboratory studies and a field experiment demonstrate that exposure to messages that praise customers for good deeds can increase subsequent self-interested and self-indulgent behaviors more than messages that publicize a company’s good deeds or thank consumers for their patronage. Our findings demonstrate the possibility that a temporary boost in one’s self-concept drives this observed effect. In addition, the recipient’s level of support for the issue praised for moderates the effect of customer-praise messages on the recipient’s less altruistic behaviors. The paper concludes with a discussion of the theoretical and managerial implications.",
Axel Wieandt,Adjunct Professor of Finance (Courtesy),http://www.kellogg.northwestern.edu/faculty/directory/wieandt_axel.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Wieandt_Axel_113015.ashx,20180327,FINANCE,"Bank Management, Financial Intermediation, Financial Regulation, Too-Big-To-Fail",
Bala Balachandran,Professor Emeritus of Accounting Information & Management,http://www.kellogg.northwestern.edu/faculty/directory/balachandran_bala.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/balachandran_bala.ashx,20180327,ACCOUNTING INFORMATION & MANAGEMENT,"Performance evaluation, cost management, audit planning, allocation models",
Barbara Martin Coppola,Adjunct Lecturer of Marketing,http://www.kellogg.northwestern.edu/faculty/directory/coppola_barbara.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Coppola_Barbara 01102018.ashx,20180327,MARKETING,,
Barry Steven Aprison,Visiting Lecturer,http://www.kellogg.northwestern.edu/faculty/directory/aprison_barry.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Aprison_Barry_06152017cropped.ashx,20180327,MANAGEMENT & ORGANIZATIONS,,
Ben Harris,Visiting Associate Professor,http://www.kellogg.northwestern.edu/faculty/directory/harris_benjamin.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Harris_Benjamin 07102017.ashx,20180327,PUBLIC-PRIVATE INTERFACE,,
Benjamin F. Jones,,http://www.kellogg.northwestern.edu/faculty/directory/jones_benjamin_f.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Jones_Ben_062017.ashx,20180327,STRATEGY,"Economic growth; development economics; technology, innovation, and entrepreneurship.",http://www.kellogg.northwestern.edu/faculty/jones-ben/htm/Research.htm
Benjamin Friedrich,Assistant Professor of Strategy,http://www.kellogg.northwestern.edu/faculty/directory/friedrich_benjamin.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Friedrich_Benjamin_091216.ashx,20180327,STRATEGY,"Friedrich, Benjamin and Martin Hackmann. 2017. The Returns to Nursing: Evidence from a Parental Leave Program.",https://sites.google.com/site/benjaminufriedrich/
Bernard (Bernie) Banks,,http://www.kellogg.northwestern.edu/faculty/directory/banks_bernie.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Banks_Bernie_091516.ashx,20180327,ARCHITECTURES OF COLLABORATION,"Leader Development, Leadership, Organizational Change, Culture",
Bernard Black,,http://www.kellogg.northwestern.edu/faculty/directory/black_bernard.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Black_Bernard_101014.ashx,20180327,FINANCE,,
Beverly Walther,,http://www.kellogg.northwestern.edu/faculty/directory/walther_beverly.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Walther_Beverly_RGB14.ashx,20180327,ACCOUNTING INFORMATION & MANAGEMENT,Incorporation of accounting information in security prices; sell-side security analysts; managerial disclosures,
Blake McShane,Associate Professor of Marketing,http://www.kellogg.northwestern.edu/faculty/directory/mcshane_blake.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/mcshane_blake.ashx,20180327,MARKETING,Bayesian hierarchical modeling; statistical learning; generalized Markov models; probability models for marketing; developing new methodology for unique data structures with application to business problems,http://www.blakemcshane.com
Bobby Calder,,http://www.kellogg.northwestern.edu/faculty/directory/calder_bobby.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/calder_b.ashx,20180327,MARKETING,"New approaches to marketing research; studies of consumer behavior, advertising effectiveness, cultural marketing.",
Brad Morehead,,http://www.kellogg.northwestern.edu/faculty/directory/morehead_brad.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Morehead_Brad_042314.ashx,20180327,INNOVATION & ENTREPRENEURSHIP,,
Brayden King,,http://www.kellogg.northwestern.edu/faculty/directory/king_brayden.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/king_b.ashx,20180327,MANAGEMENT & ORGANIZATIONS,"Organizational change, social movements and corporate policymaking, economic sociology, the emergence and transformation of organizational identities",
Brenda Ellington Booth,Clinical Professor of Leadership,http://www.kellogg.northwestern.edu/faculty/directory/ellington-booth_brenda.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Ellington-Booth_Brenda_0350_RGB11.ashx,20180327,ARCHITECTURES OF COLLABORATION,,
